# Last update: Thu, 09 May 2019 23:00:13 +0200
#
# IP	number of (black)lists
#
171.25.193.20	11
171.25.193.25	11
197.231.221.211	11
89.234.157.254	10
171.25.193.77	10
80.82.77.139	10
171.25.193.235	10
80.82.77.33	9
178.73.215.171	9
223.111.139.239	9
183.230.146.26	9
192.42.116.16	9
77.247.181.162	9
65.19.167.131	9
31.220.40.54	9
62.102.148.67	9
185.244.25.205	9
178.128.96.131	8
192.160.102.170	8
209.141.35.22	8
222.187.225.9	8
213.213.194.116	8
176.31.208.193	8
171.25.193.78	8
194.105.205.42	8
185.220.101.3	8
202.150.142.38	8
71.6.146.185	8
81.215.200.232	8
27.184.49.9	8
222.187.254.14	8
185.220.101.28	8
153.37.165.220	8
199.87.154.255	8
185.220.101.25	8
73.136.221.190	8
166.70.207.2	8
115.238.245.4	8
185.220.102.8	8
18.85.192.253	8
115.238.245.2	8
27.92.117.238	8
185.220.101.46	8
122.226.181.165	8
122.226.181.164	8
122.226.181.167	8
122.226.181.166	8
223.111.139.203	8
192.81.219.158	8
185.193.125.42	8
222.187.232.212	8
31.220.0.225	8
222.187.238.32	8
222.187.221.202	8
222.187.221.72	8
80.67.172.162	8
82.196.9.232	8
222.187.221.222	8
87.120.36.157	8
5.199.130.188	8
77.247.181.165	8
89.248.167.131	8
185.129.62.63	8
185.129.62.62	8
122.228.19.79	8
185.220.101.33	8
188.166.150.136	8
206.189.152.215	8
89.197.161.164	8
128.31.0.13	7
51.15.53.83	7
23.24.163.78	7
68.183.126.242	7
221.2.158.154	7
176.10.107.180	7
222.186.57.230	7
71.6.199.23	7
222.93.230.228	7
58.241.250.152	7
58.241.250.151	7
198.84.204.52	7
202.29.57.103	7
196.52.43.61	7
196.52.43.63	7
188.22.21.106	7
144.217.165.223	7
68.39.30.29	7
112.197.172.233	7
185.104.120.5	7
185.104.120.3	7
198.96.155.3	7
185.220.101.1	7
209.95.51.11	7
206.189.181.86	7
71.6.146.186	7
46.165.245.154	7
205.185.126.56	7
218.108.74.250	7
58.135.224.36	7
62.210.37.82	7
1.232.77.181	7
223.113.91.54	7
185.220.100.253	7
196.52.43.64	7
196.52.43.65	7
196.52.43.62	7
196.52.43.127	7
196.52.43.128	7
196.52.43.129	7
185.165.168.229	7
94.102.51.78	7
109.201.133.100	7
73.162.41.26	7
196.52.43.89	7
118.33.75.186	7
185.220.102.4	7
185.220.102.6	7
71.6.135.131	7
196.52.43.113	7
196.52.43.115	7
196.52.43.114	7
196.52.43.117	7
104.248.87.40	7
85.248.227.163	7
77.247.181.163	7
80.13.251.203	7
66.240.219.146	7
176.10.104.240	7
211.43.127.239	7
185.220.101.20	7
157.230.177.134	7
204.17.56.42	7
222.187.225.10	7
61.184.247.11	7
46.148.20.25	7
125.178.39.249	7
176.10.99.200	7
45.119.212.105	7
71.6.146.130	7
79.1.102.184	7
96.244.71.124	7
80.82.70.118	7
23.129.64.102	7
35.0.127.52	7
184.154.74.66	7
58.42.228.170	7
64.113.32.29	7
42.61.24.202	7
37.187.129.166	7
51.15.37.97	7
196.52.43.59	7
196.52.43.51	7
223.221.33.214	7
198.50.200.129	7
118.69.173.232	7
62.102.148.68	7
117.211.161.42	7
108.53.62.148	7
89.248.172.16	7
196.52.43.58	7
196.52.43.55	7
196.52.43.54	7
196.52.43.57	7
196.52.43.56	7
196.52.43.53	7
196.52.43.52	7
24.221.19.57	7
196.52.43.111	7
196.52.43.116	7
71.6.158.166	7
111.53.76.186	7
46.182.106.190	7
222.187.221.84	7
192.160.102.166	7
192.160.102.168	7
192.160.102.169	7
37.49.227.218	7
75.109.166.64	7
185.220.101.34	7
193.9.115.24	7
196.52.43.98	7
196.52.43.97	7
196.52.43.96	7
91.219.237.244	7
120.150.103.101	7
196.52.43.121	7
196.52.43.126	7
86.122.121.217	7
185.100.86.128	7
185.142.236.34	7
158.69.192.239	7
195.206.105.217	7
104.37.216.112	7
196.52.43.109	7
196.52.43.103	7
61.188.189.7	7
137.74.167.96	7
114.228.3.128	7
196.52.43.110	7
152.136.123.26	7
138.197.177.62	6
77.247.108.53	6
80.211.244.108	6
165.22.149.154	6
107.170.202.45	6
93.115.27.158	6
218.60.28.126	6
137.74.169.241	6
167.99.84.56	6
188.92.77.235	6
162.247.74.206	6
178.211.51.212	6
183.161.29.127	6
77.247.109.231	6
110.249.212.46	6
108.250.240.69	6
14.33.133.188	6
164.132.51.91	6
185.173.35.25	6
185.173.35.21	6
66.240.236.119	6
78.109.23.2	6
223.111.139.211	6
223.111.139.210	6
77.247.109.216	6
77.247.109.214	6
77.247.109.218	6
195.154.204.6	6
195.176.3.20	6
205.185.116.81	6
51.15.43.205	6
95.176.176.219	6
120.52.152.16	6
120.52.152.18	6
134.209.5.132	6
77.247.109.92	6
175.195.45.85	6
31.185.104.21	6
94.102.49.190	6
103.79.141.158	6
5.196.66.162	6
54.36.189.105	6
96.127.158.234	6
203.156.207.214	6
5.196.1.129	6
202.109.143.110	6
138.197.131.198	6
31.193.136.163	6
185.53.88.203	6
47.154.229.133	6
144.217.39.181	6
219.146.152.154	6
178.128.175.36	6
167.99.224.87	6
167.99.201.162	6
144.217.166.26	6
185.104.120.4	6
162.213.3.221	6
209.97.157.36	6
104.57.202.202	6
185.107.47.171	6
185.220.101.6	6
185.220.101.5	6
185.220.101.0	6
77.247.109.50	6
77.247.109.59	6
89.31.57.5	6
205.252.40.168	6
74.122.133.239	6
109.69.67.17	6
78.223.26.8	6
143.208.181.29	6
178.159.7.3	6
61.147.247.146	6
51.15.209.128	6
89.248.162.168	6
185.173.35.49	6
185.220.101.44	6
185.220.101.45	6
198.20.70.114	6
77.247.108.83	6
54.38.219.156	6
71.6.167.142	6
198.143.155.138	6
125.64.94.211	6
111.179.217.246	6
89.248.174.3	6
103.36.11.162	6
130.149.80.199	6
223.111.182.40	6
216.245.196.198	6
185.220.101.65	6
167.99.42.89	6
51.15.59.9	6
77.247.109.181	6
51.15.59.175	6
51.89.6.204	6
82.64.18.164	6
185.220.100.252	6
77.247.110.18	6
138.197.151.29	6
209.141.41.103	6
79.9.81.48	6
110.35.75.69	6
199.249.230.80	6
199.249.230.86	6
199.249.230.89	6
103.89.91.94	6
196.52.43.60	6
125.239.47.232	6
185.53.88.178	6
185.53.88.177	6
185.117.215.9	6
185.107.70.202	6
23.225.147.66	6
61.82.104.236	6
82.64.25.207	6
195.154.32.212	6
51.254.47.198	6
36.66.69.33	6
167.99.198.87	6
94.230.208.147	6
185.220.101.26	6
185.220.101.27	6
185.220.101.22	6
185.220.101.21	6
192.42.116.13	6
196.52.43.86	6
196.52.43.87	6
196.52.43.88	6
196.52.43.85	6
87.118.116.90	6
185.244.25.92	6
178.128.104.159	6
185.208.208.198	6
126.72.64.28	6
196.52.43.131	6
196.52.43.130	6
87.118.116.12	6
185.220.102.7	6
202.100.182.250	6
198.98.62.146	6
78.198.69.64	6
192.99.30.200	6
107.170.195.183	6
92.118.161.57	6
92.118.161.53	6
185.53.88.2	6
91.235.244.116	6
178.128.226.194	6
185.173.35.57	6
163.172.160.182	6
196.52.43.119	6
196.52.43.118	6
196.52.43.112	6
193.32.163.89	6
193.32.163.81	6
199.249.223.79	6
107.170.239.24	6
113.255.21.140	6
165.22.146.124	6
199.249.230.116	6
158.69.217.87	6
77.247.108.67	6
91.236.239.52	6
78.196.118.157	6
218.24.113.2	6
134.209.149.14	6
159.65.71.85	6
212.21.66.6	6
62.210.82.203	6
116.77.132.129	6
103.207.38.203	6
98.235.133.140	6
46.165.254.166	6
185.173.35.13	6
185.100.85.61	6
207.244.70.35	6
141.98.81.37	6
102.165.51.46	6
77.247.109.206	6
104.244.73.126	6
217.115.10.132	6
54.36.222.37	6
97.74.237.196	6
37.49.225.43	6
103.249.28.210	6
221.224.147.220	6
185.173.35.45	6
185.173.35.33	6
65.19.167.130	6
221.203.38.14	6
183.2.202.42	6
125.72.70.46	6
81.37.133.214	6
195.154.156.229	6
82.221.105.7	6
82.221.105.6	6
